Unnamed: 0,Star_name,Distance,Mass,Radius,radius,Gravity
293,WISE 0049+0441,24.1,30,,1.18,5909.27524
294,WISE 0049+2151,142.9,30,,1.18,5909.27524
295,WISE 0106+1518,67.2,30,,1.18,5909.27524
296,WISE 0123+4142,77.3,30,,1.18,5909.27524
297,WISE 0135+1715,57.7,30,,1.18,5909.27524
298,WISE 0138-0322,20.5,30,,1.18,5909.27524
299,WISE 0146+4234,30,30,,1.18,5909.27524
300,WISE 0148-7202,61.3,30,,1.18,5909.27524
301,WISE 0150+3827,58.4,30,,1.18,5909.27524
302,WISE 0206+2640,73.1,30,,1.18,5909.27524
303,WISE 0221+3842,47,30,,1.18,5909.27524
304,WISE 0223-2932,91,30,,1.18,5909.27524
305,WISE 0226-0211,53.8,30,,1.18,5909.27524
306,WISE 0241-3653,56.1,30,,1.18,5909.27524
307,WISE 0245-3450,57.1,30,,1.18,5909.27524
308,WISE 0247+3725,75,30,,1.18,5909.27524
309,WISE 0305+3954,82.8,30,,1.18,5909.27524
310,WISE 0307+2904,28,30,,1.18,5909.27524
311,WISE 0313+7807,106.3,30,,1.18,5909.27524
312,WISE 0316+4307,84.8,30,,1.18,5909.27524
313,WISE 0321-7347,45.3,30,,1.18,5909.27524
314,WISE 0323-6025,51.2,30,,1.18,5909.27524
315,WISE 0325-3854,36.5,30,,1.18,5909.27524
316,WISE 0325+0831,54.8,30,,1.18,5909.27524
317,WISE 0333-5856,45.7,30,,1.18,5909.27524
318,WISE 0335+4310,55.4,30,,1.18,5909.27524
319,WISE 0336-0143,17.7,30,,1.18,5909.27524
320,WISE 0350-5658,19.2,30,,1.18,5909.27524
321,WISE 0359-5401,20,30,,1.18,5909.27524
322,WISE 0410+1502,85.8,6,1.17,1.17,1202.144034
323,WISE 0410+1411,66.2,30,,1.18,5909.27524
324,WISE 0413-4750,69.8,30,,1.18,5909.27524
325,WISE 0448-1935,35.9,30,,1.18,5909.27524
326,WISE 0458+6434A,35.9,15,4.2,4.2,233.2220761
327,WISE 0458+6434B,47,10,3.8,3.8,189.9370924
328,WISE 0500-1223,44.7,30,,1.18,5909.27524
329,WISE 0513+0608,98.2,30,,1.18,5909.27524
330,WISE 0525+6739,57.4,30,,1.18,5909.27524
331,WISE 0528-3308,47,30,,1.18,5909.27524
332,WISE 0535-7500,84.8,30,,1.18,5909.27524
333,WISE 0539-1034,50.6,30,,1.18,5909.27524
334,WISE 0542-1628,25.4,30,,1.18,5909.27524
335,WISE 0607+2429,57.7,30,,1.18,5909.27524
336,WISE 0611-0410,95.2,30,,1.18,5909.27524
337,WISE 0612-4920,64.9,30,,1.18,5909.27524
338,WISE 0612-3036,50.2,30,,1.18,5909.27524
339,WISE 0614+3912,51.5,30,,1.18,5909.27524
340,WISE 0614+0951,37.5,30,,1.18,5909.27524
341,WISE 0623-0456,67.2,30,,1.18,5909.27524
